node	node_type
MeSH_Tree_Disease:C12.100.937.640.400.520	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.114	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.550.414.712	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.597.350.600	MeSH_Tree_Disease
MeSH_Disease:D017564	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.050.351.875.253.096	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C19.391.119.343	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.950.419.630.477	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.337.100	MeSH_Tree_Disease
MeSH_Disease:D018487	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.050.351.968.892	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C18.452.648.189.435.825.300.300	MeSH_Tree_Disease
MeSH_Tree_Disease:C17.800.621.936	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.140.300.775.200.200	MeSH_Tree_Disease
MeSH_Tree_Disease:C08.460.692	MeSH_Tree_Disease
MeSH_Tree_Disease:C05.116.425.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.131.740.830	MeSH_Tree_Disease
MeSH_Tree_Disease:C05.550.114.843	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.200.294.494	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.597.751.861.184	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.228.228.570	MeSH_Tree_Disease
